class,roc_auc,pr_auc,support
edamame,0.9999967833040614,0.9997309904457844,135
oysters,0.9999927567724178,0.9994268436760672,144
escargots,0.9999780450703342,0.9958687745261753,55
spaghetti_bolognese,0.9999629137219229,0.996805827341163,124
deviled_eggs,0.9999552165698692,0.9957981304750496,124
cannoli,0.9999504097395272,0.9953885176230561,126
peking_duck,0.9999486311365361,0.99117095616732,74
seaweed_salad,0.9999399331952668,0.9956205954925255,133
spaghetti_carbonara,0.9999189358697398,0.9916025906975457,122
pho,0.9999184341460976,0.993119188187702,132
pad_thai,0.9999142782924929,0.9893881816229304,100
eggs_benedict,0.9998713786898646,0.9810071746710485,133
macarons,0.9998657435500717,0.9839241592213663,147
pulled_pork_sandwich,0.9998486813661912,0.9805439745371133,84
takoyaki,0.9998477819178154,0.9649969920180024,26
creme_brulee,0.9998452304048234,0.9885363732769175,129
croque_madame,0.9998240908959829,0.9867437667540454,90
samosa,0.9998122752391793,0.9820514240538025,115
greek_salad,0.9997928766356448,0.9864877597652586,124
beef_carpaccio,0.9997884955878573,0.9794814074666433,97
baklava,0.9997862187035667,0.9846544022555629,98
bibimbap,0.9997821081174141,0.9774995555467763,32
hot_and_sour_soup,0.9997613211613559,0.9871023693256321,135
gyoza,0.9997170655756259,0.9487459244779102,101
mussels,0.9997114059804129,0.989402040610391,140
caprese_salad,0.9996722408535426,0.9731721159980342,114
prime_rib,0.9996566187537507,0.9610650029979378,108
baby_back_ribs,0.9996501962180588,0.9719236380231419,111
fried_rice,0.9996466875419431,0.9696466123062264,127
lobster_roll_sandwich,0.999633597454784,0.9717462130159334,115
sashimi,0.9996295909773065,0.9701549163351466,118
macaroni_and_cheese,0.9996074104379233,0.9669621856729502,126
chicken_wings,0.9995881257825916,0.9781827314150097,142
ramen,0.9995635355198575,0.9698776952150807,110
frozen_yogurt,0.9995193280712407,0.9602389375905434,120
fried_calamari,0.9995120510267715,0.963354704079799,79
onion_rings,0.9994855896342874,0.9791221269631054,139
paella,0.9994456154705895,0.9363354817525721,117
chicken_quesadilla,0.9994067162029837,0.9590330976482406,75
club_sandwich,0.9993609358269533,0.9701535749694269,123
churros,0.9993535133746192,0.977511515799871,127
beignets,0.9993444883483457,0.9588140329785182,133
cheese_plate,0.9993247670111914,0.9697499057267842,143
falafel,0.9992987725818999,0.9507640918971754,80
gnocchi,0.999262633976773,0.93582122346651,92
french_fries,0.9992568942705834,0.9656704898370787,146
lobster_bisque,0.9992547034691934,0.9432307835590702,134
beef_tartare,0.999243515447917,0.9389648630627762,93
tacos,0.9992086895094653,0.9515148988400118,134
pancakes,0.9991981430681578,0.9531300412889657,140
donuts,0.9991719208899124,0.9488867842779027,137
strawberry_shortcake,0.9991713250781665,0.94253864655708,119
miso_soup,0.9991614825894324,0.9870554391038463,138
huevos_rancheros,0.9991457416515661,0.8907500570643344,60
pizza,0.9990633771535478,0.9615457051914857,146
lasagna,0.999056726515743,0.9239777800237925,120
clam_chowder,0.9990253411306044,0.9682027035549629,135
poutine,0.9990227542140109,0.9740704899298299,120
fish_and_chips,0.998951223719215,0.9463260402560145,138
carrot_cake,0.9988872398753086,0.9397619471571975,134
hamburger,0.998842909358264,0.9639597982939068,107
garlic_bread,0.9987845497166048,0.929491010477326,124
dumplings,0.998748061940697,0.9685114882857649,135
sushi,0.9987392883260724,0.9518364830364447,139
nachos,0.9986664691065343,0.9577983797528821,136
spring_rolls,0.9986639144496503,0.9684137674896016,136
guacamole,0.9986543729939646,0.9652924934878838,133
waffles,0.9986376938960608,0.9549408308707681,142
hot_dog,0.998629125933143,0.9569341331365891,142
tiramisu,0.9986239923723672,0.9152536291967045,112
ceviche,0.9984455696932976,0.9008069387292151,96
hummus,0.9983659259752806,0.9458351781020475,104
french_onion_soup,0.998360910095205,0.9522064437221581,140
cup_cakes,0.9983554022238391,0.9622174161436556,146
grilled_cheese_sandwich,0.9983476800711896,0.8860753846074209,126
ravioli,0.9981973382215639,0.8986347129098287,91
shrimp_and_grits,0.9981833586909978,0.9261299077493239,95
red_velvet_cake,0.998060837602385,0.94522443150075,132
panna_cotta,0.9980057378769855,0.9265182147999188,124
tuna_tartare,0.9979413609177674,0.9066369903164982,78
grilled_salmon,0.9979350276309737,0.8926140323596975,115
beet_salad,0.9976376374552445,0.9388694724213545,95
french_toast,0.9976083143512154,0.9175095566493879,142
bruschetta,0.9975966403562031,0.9114328400051965,120
breakfast_burrito,0.9974893023894839,0.9265662223136412,78
chicken_curry,0.9971024687636083,0.9160189563942016,93
foie_gras,0.9964132388374813,0.7350869506052629,66
crab_cakes,0.9959091008476244,0.9290655704773615,119
chocolate_cake,0.9956934871577399,0.8350162354931088,136
steak,0.9950810563712557,0.7156166768925444,118
bread_pudding,0.9950066204065218,0.7599332645800798,133
ice_cream,0.9948786782922519,0.8935863247303719,141
apple_pie,0.9944629730615628,0.8475046726391302,118
chocolate_mousse,0.9938556365069084,0.7335122206889558,130
filet_mignon,0.9938212330202345,0.7486990703127264,95
omelette,0.9936861821918708,0.9046937218074692,119
risotto,0.9930168454074934,0.8803193961842024,136
pork_chop,0.9910093333121334,0.7626408522018814,109
scallops,0.9897706877545257,0.949685947048613,95
cheesecake,0.9880882042625025,0.8439941546331473,140
